,鄉鎮,年度,月份,旬,平均值,
台中市,和平區,2013,5,2,1.2,1.8
台中市,和平區,2013,5,1,1.8,1.8
台中市,和平區,2013,4,3,1.8,1.2
台中市,和平區,2013,4,2,1.2,1.7
台中市,和平區,2013,4,1,1.7,0.9
台中市,和平區,2013,3,3,0.9,1.1
台中市,和平區,2013,3,2,1.1,0.7
台中市,和平區,2013,3,1,0.7,1.1
台中市,和平區,2013,2,3,1.1,1.1
台中市,和平區,2013,2,2,1.1,0.7
台中市,和平區,2013,2,1,0.7,1.2
台中市,和平區,2013,1,3,1.2,0.7
台中市,和平區,2013,1,2,0.7,1.2
台中市,和平區,2013,1,1,1.2,99999
台中市,東勢區,2016,5,3,94.44,87.11
台中市,東勢區,2016,5,2,87.11,63.22
台中市,東勢區,2016,5,1,63.22,36.33
台中市,東勢區,2016,4,3,36.33,31.67
台中市,東勢區,2016,4,2,31.67,20.78
台中市,東勢區,2016,4,1,20.78,10.8
台中市,東勢區,2016,3,3,10.8,7.7
台中市,東勢區,2016,3,2,7.7,5.4
台中市,東勢區,2016,3,1,5.4,1.4
台中市,東勢區,2016,2,3,1.4,2.1
台中市,東勢區,2016,2,2,2.1,2.4
台中市,東勢區,2016,2,1,2.4,3.9
台中市,東勢區,2016,1,3,3.9,22.1
台中市,東勢區,2016,1,2,22.1,24.77777778
台中市,東勢區,2016,1,1,24.77777778,0.222222222
台中市,東勢區,2015,12,3,0.222222222,0.444444444
台中市,東勢區,2015,12,2,0.444444444,62.11111111
台中市,東勢區,2015,12,1,62.11111111,62.4
台中市,東勢區,2015,11,3,62.4,73.4
台中市,東勢區,2015,11,2,73.4,79
台中市,東勢區,2015,11,1,79,84.1
台中市,東勢區,2015,10,3,84.1,85.8
台中市,東勢區,2015,10,2,85.8,97.3
台中市,東勢區,2015,10,1,97.3,101.1
台中市,東勢區,2015,9,3,101.1,111.4
台中市,東勢區,2015,9,2,111.4,133.7
台中市,東勢區,2015,9,1,133.7,159.8
台中市,東勢區,2015,8,3,159.8,177.1
台中市,東勢區,2015,8,2,177.1,186.9
台中市,東勢區,2015,8,1,186.9,186.3
台中市,東勢區,2015,7,3,186.3,191.8
台中市,東勢區,2015,7,2,191.8,191.6
台中市,東勢區,2015,7,1,191.6,99999
台中市,東勢區,2015,6,2,221.8,174.6
台中市,東勢區,2015,6,1,174.6,145.1
台中市,東勢區,2015,5,3,145.1,131.9
台中市,東勢區,2015,5,2,131.9,58.2
台中市,東勢區,2015,5,1,58.2,49.6
台中市,東勢區,2015,4,3,49.6,42.6
台中市,東勢區,2015,4,2,42.6,39.1
台中市,東勢區,2015,4,1,39.1,29.8
台中市,東勢區,2015,3,3,29.8,20.7
台中市,東勢區,2015,3,2,20.7,12.1
台中市,東勢區,2015,3,1,12.1,10.9
台中市,東勢區,2015,2,3,10.9,10.7
台中市,東勢區,2015,2,2,10.7,12.3
台中市,東勢區,2015,2,1,12.3,14
台中市,東勢區,2015,1,3,14,21.6
台中市,東勢區,2015,1,2,21.6,25.3
台中市,東勢區,2015,1,1,25.3,29.1
台中市,東勢區,2014,12,3,29.1,0
台中市,東勢區,2014,12,2,0,0
台中市,東勢區,2014,12,1,0,0
台中市,東勢區,2014,11,3,0,75
台中市,東勢區,2014,11,2,75,87.1
台中市,東勢區,2014,11,1,87.1,90.3
台中市,東勢區,2014,10,3,90.3,87.7
台中市,東勢區,2014,10,2,87.7,97.2
台中市,東勢區,2014,10,1,97.2,85.1
台中市,東勢區,2014,9,3,85.1,87.8
台中市,東勢區,2014,9,2,87.8,99
台中市,東勢區,2014,9,1,99,144.6
台中市,東勢區,2014,8,3,144.6,137.9
台中市,東勢區,2014,8,2,137.9,182
台中市,東勢區,2014,8,1,182,158.3
台中市,東勢區,2014,7,3,158.3,196.6
台中市,東勢區,2014,7,2,196.6,196.9
台中市,東勢區,2014,7,1,196.9,183.7
台中市,東勢區,2014,6,3,183.7,190.8
台中市,東勢區,2014,6,2,190.8,189.6
台中市,東勢區,2014,6,1,189.6,0
台中市,東勢區,2014,5,3,0,146.67
台中市,東勢區,2014,5,2,146.67,60.67
台中市,東勢區,2014,5,1,60.67,45.11
台中市,東勢區,2014,4,3,45.11,43.44
台中市,東勢區,2014,4,2,43.44,44
台中市,東勢區,2014,4,1,44,35.44
台中市,東勢區,2014,3,3,35.44,21
台中市,東勢區,2014,3,2,21,11.78
台中市,東勢區,2014,3,1,11.78,10
台中市,東勢區,2014,2,3,10,9
台中市,東勢區,2014,2,2,9,10.6
台中市,東勢區,2014,2,1,10.6,15.3
台中市,東勢區,2014,1,3,15.3,21.3
台中市,東勢區,2014,1,2,21.3,22.8
台中市,東勢區,2014,1,1,22.8,24.4
台中市,東勢區,2013,12,3,24.4,28
台中市,東勢區,2013,12,2,28,33.7
台中市,東勢區,2013,12,1,33.7,43.1
台中市,東勢區,2013,11,3,43.1,70.1
台中市,東勢區,2013,11,2,70.1,84.4
台中市,東勢區,2013,11,1,84.4,95.2
台中市,東勢區,2013,10,3,95.2,94.56
台中市,東勢區,2013,10,2,94.56,110.22
台中市,東勢區,2013,10,1,110.22,85.89
台中市,東勢區,2013,9,3,85.89,76.67
台中市,東勢區,2013,9,2,76.67,52.89
台中市,東勢區,2013,9,1,52.89,153.67
台中市,東勢區,2013,8,3,153.67,99999
台中市,東勢區,2013,8,1,190.1,112.2
台中市,東勢區,2013,7,3,112.2,185.1
台中市,東勢區,2013,7,2,185.1,199.6
台中市,東勢區,2013,7,1,199.6,184.9
台中市,東勢區,2013,6,3,184.9,187.6
台中市,東勢區,2013,6,2,187.6,99999
台中市,東勢區,2013,5,3,156.2,153.2
台中市,東勢區,2013,5,2,153.2,54.4
台中市,東勢區,2013,5,1,54.4,41.6
台中市,東勢區,2013,4,3,41.6,25.2
台中市,東勢區,2013,4,2,25.2,40.9
台中市,東勢區,2013,4,1,40.9,34.3
台中市,東勢區,2013,3,3,34.3,19.9
台中市,東勢區,2013,3,2,19.9,14.8
台中市,東勢區,2013,3,1,14.8,8.6
台中市,東勢區,2013,2,3,8.6,5.8
台中市,東勢區,2013,2,2,5.8,6.3
台中市,東勢區,2013,2,1,6.3,7.9
台中市,東勢區,2013,1,3,7.9,11.6
台中市,東勢區,2013,1,2,11.6,12.9
台中市,東勢區,2013,1,1,12.9,99999
台東縣,台東地區,2016,5,3,149.4,189
台東縣,台東地區,2016,5,2,189,99999
台東縣,台東地區,2016,4,3,169.6,69
台東縣,台東地區,2016,4,2,69,63.8
台東縣,台東地區,2016,4,1,63.8,62.2
台東縣,台東地區,2016,3,3,62.2,37
台東縣,台東地區,2016,3,2,37,55
台東縣,台東地區,2016,3,1,55,79
台東縣,台東地區,2016,2,3,79,61.2
台東縣,台東地區,2016,2,2,61.2,28.8
台東縣,台東地區,2016,2,1,28.8,99999
台東縣,台東地區,2016,1,2,60.8,47.8
台東縣,台東地區,2016,1,1,47.8,99999
